# time_delay 	 res_example_osc_2 	 eps
-2.00000000e+00 -4.81769491e-03 3.64864670e-03
-1.80000000e+00 4.53808781e-04 3.64864670e-03
-1.60000000e+00 -1.17323109e-02 3.64864670e-03
-1.40000000e+00 2.22127983e-03 3.64864670e-03
-1.20000000e+00 9.47469746e-04 3.64864670e-03
-1.00000000e+00 -2.26716433e-03 3.64864670e-03
-9.80000000e-01 -2.04415277e-04 3.64864670e-03
-9.60000000e-01 8.44806057e-03 3.64864670e-03
-9.40000000e-01 6.19660653e-03 3.64864670e-03
-9.20000000e-01 2.07912683e-03 3.64864670e-03
-9.00000000e-01 6.85068722e-03 3.64864670e-03
-8.80000000e-01 -9.24471787e-04 3.64864670e-03
-8.60000000e-01 -3.32944313e-03 3.64864670e-03
-8.40000000e-01 3.21913871e-03 3.64864670e-03
-8.20000000e-01 -1.36192687e-03 3.64864670e-03
-8.00000000e-01 2.53511728e-03 3.64864670e-03
-7.80000000e-01 5.00472852e-04 3.64864670e-03
-7.60000000e-01 2.22056738e-03 3.64864670e-03
-7.40000000e-01 3.85396814e-03 3.64864670e-03
-7.20000000e-01 6.22871344e-03 3.64864670e-03
-7.00000000e-01 -4.41038460e-03 3.64864670e-03
-6.80000000e-01 -5.38533926e-04 3.64864670e-03
-6.60000000e-01 -3.27747824e-03 3.64864670e-03
-6.40000000e-01 -2.71871707e-03 3.64864670e-03
-6.20000000e-01 -2.40473300e-03 3.64864670e-03
-6.00000000e-01 6.82329269e-03 3.64864670e-03
-5.80000000e-01 -9.61646991e-04 3.64864670e-03
-5.60000000e-01 -4.59809262e-03 3.64864670e-03
-5.40000000e-01 6.59073685e-03 3.64864670e-03
-5.20000000e-01 -1.85156804e-03 3.64864670e-03
-5.00000000e-01 -8.92497521e-03 3.64864670e-03
-4.80000000e-01 5.80920486e-03 3.64864670e-03
-4.60000000e-01 -2.52174413e-03 3.64864670e-03
-4.40000000e-01 -6.52589521e-04 3.64864670e-03
-4.20000000e-01 1.90573597e-03 3.64864670e-03
-4.00000000e-01 -2.13713067e-03 3.64864670e-03
-3.80000000e-01 4.62863370e-03 3.64864670e-03
-3.60000000e-01 2.49425554e-03 3.64864670e-03
-3.40000000e-01 2.00796776e-03 3.64864670e-03
-3.20000000e-01 5.57745179e-03 3.64864670e-03
-3.00000000e-01 1.50919053e-03 3.64864670e-03
-2.80000000e-01 1.96356339e-03 3.64864670e-03
-2.60000000e-01 -3.94534143e-03 3.64864670e-03
-2.40000000e-01 -3.65124424e-04 3.64864670e-03
-2.20000000e-01 -1.75457924e-03 3.64864670e-03
-2.00000000e-01 4.77172487e-03 3.64864670e-03
-1.80000000e-01 -1.80748700e-03 3.64864670e-03
-1.60000000e-01 -8.27627717e-04 3.64864670e-03
-1.40000000e-01 4.13546782e-03 3.64864670e-03
-1.20000000e-01 4.31534862e-03 3.64864670e-03
-1.00000000e-01 -1.76546939e-03 3.64864670e-03
-8.00000000e-02 -2.23218533e-03 3.64864670e-03
-6.00000000e-02 9.27176475e-04 3.64864670e-03
-4.00000000e-02 -5.20770354e-04 3.64864670e-03
-2.00000000e-02 -5.92889154e-03 3.64864670e-03
8.88178420e-16 4.35136882e-03 3.64864670e-03
2.00000000e-02 2.80192263e-03 3.64864670e-03
4.00000000e-02 4.14689953e-04 3.64864670e-03
6.00000000e-02 -2.87563237e-04 3.64864670e-03
8.00000000e-02 -8.20991498e-03 3.64864670e-03
1.00000000e-01 -1.03675641e-03 3.64864670e-03
1.20000000e-01 2.10085905e-03 3.64864670e-03
1.40000000e-01 -1.00442822e-03 3.64864670e-03
1.60000000e-01 1.63863522e-03 3.64864670e-03
1.80000000e-01 1.07902414e-04 3.64864670e-03
2.00000000e-01 -2.78701845e-03 3.64864670e-03
2.20000000e-01 -3.83185015e-03 3.64864670e-03
2.40000000e-01 -8.91647276e-03 3.64864670e-03
2.60000000e-01 -1.60063623e-02 3.64864670e-03
2.80000000e-01 -1.84020402e-02 3.64864670e-03
3.00000000e-01 -2.15229204e-02 3.64864670e-03
3.20000000e-01 -1.37553182e-02 3.64864670e-03
3.40000000e-01 -1.20948764e-02 3.64864670e-03
3.60000000e-01 -5.21719110e-03 3.64864670e-03
3.80000000e-01 1.71229241e-03 3.64864670e-03
4.00000000e-01 6.26112579e-03 3.64864670e-03
4.20000000e-01 -1.63566992e-03 3.64864670e-03
4.40000000e-01 5.62026431e-03 3.64864670e-03
4.60000000e-01 5.41735295e-03 3.64864670e-03
4.80000000e-01 3.75081697e-03 3.64864670e-03
5.00000000e-01 1.41661344e-03 3.64864670e-03
5.20000000e-01 8.79394556e-03 3.64864670e-03
5.40000000e-01 4.40167395e-03 3.64864670e-03
