# time_delay	fit_example_osc_1	fit_example_osc_2	fit_example_osc_3	fit_example_osc_4
5.00000000e+01 9.64779373e-01 1.96958971e-01 8.64032261e-01 -9.52279199e-01
6.00000000e+01 9.55205019e-01 1.92320574e-01 8.56320037e-01 -9.48534195e-01
7.00000000e+01 9.45691677e-01 1.89422908e-01 8.48107144e-01 -9.41175394e-01
8.00000000e+01 9.36260639e-01 1.87174351e-01 8.39764795e-01 -9.32553654e-01
9.00000000e+01 9.26919098e-01 1.85175234e-01 8.31428321e-01 -9.23528828e-01
1.00000000e+02 9.17669095e-01 1.83279153e-01 8.23146724e-01 -9.14415041e-01
2.00000000e+02 8.30088710e-01 1.65761828e-01 7.44595562e-01 -8.27199536e-01
3.00000000e+02 7.50866341e-01 1.49941778e-01 6.73532526e-01 -7.48252907e-01
4.00000000e+02 6.79204830e-01 1.35631569e-01 6.09251634e-01 -6.76840819e-01
5.00000000e+02 6.14382583e-01 1.22687104e-01 5.51105610e-01 -6.12244189e-01
6.00000000e+02 5.55746869e-01 1.10978038e-01 4.98508952e-01 -5.53812560e-01
7.00000000e+02 5.02707256e-01 1.00386468e-01 4.50932037e-01 -5.00957555e-01
8.00000000e+02 4.54729662e-01 9.08057401e-02 4.07895788e-01 -4.53146949e-01
9.00000000e+02 4.11330973e-01 8.21393821e-02 3.68966851e-01 -4.09899312e-01
1.00000000e+03 3.72074188e-01 7.43001279e-02 3.33753232e-01 -3.70779162e-01
2.00000000e+03 1.36461719e-01 2.72502729e-02 1.22407146e-01 -1.35986756e-01
