# time_delay 	 res_osc_1 	 eps
-2.00000000e+00 -3.42775885e-02 2.17315026e-02
-1.90000000e+00 8.93166165e-03 2.17315026e-02
-1.80000000e+00 1.27495171e-02 2.17315026e-02
-1.70000000e+00 -2.01419023e-02 2.17315026e-02
-1.60000000e+00 3.28024037e-02 2.17315026e-02
-1.50000000e+00 -6.36351107e-03 2.17315026e-02
-1.40000000e+00 1.50211007e-02 2.17315026e-02
-1.30000000e+00 4.40652300e-02 2.17315026e-02
-1.20000000e+00 2.22133931e-02 2.17315026e-02
-1.10000000e+00 5.21637687e-03 2.17315026e-02
-1.00000000e+00 -2.84912115e-03 2.17315026e-02
-9.50000000e-01 -2.83602920e-02 2.17315026e-02
-9.00000000e-01 1.77006581e-02 2.17315026e-02
-8.50000000e-01 1.71781517e-02 2.17315026e-02
-8.00000000e-01 -1.40719860e-02 2.17315026e-02
-7.50000000e-01 -2.10859134e-04 2.17315026e-02
-7.00000000e-01 -2.29315357e-02 2.17315026e-02
-6.50000000e-01 -3.39380051e-02 2.17315026e-02
-6.00000000e-01 -4.61409186e-03 2.17315026e-02
-5.50000000e-01 1.38282257e-02 2.17315026e-02
-5.00000000e-01 5.19134663e-03 2.17315026e-02
-4.50000000e-01 1.79519062e-02 2.17315026e-02
-4.00000000e-01 -1.64229124e-02 2.17315026e-02
-3.50000000e-01 3.95209832e-02 2.17315026e-02
-3.00000000e-01 -2.88438402e-02 2.17315026e-02
-2.50000000e-01 2.15555705e-02 2.17315026e-02
-2.00000000e-01 1.80297561e-02 2.17315026e-02
-1.50000000e-01 7.35762812e-03 2.17315026e-02
-1.00000000e-01 -3.22400669e-02 2.17315026e-02
-5.00000000e-02 1.48031469e-02 2.17315026e-02
8.88178420e-16 -5.35186518e-03 2.17315026e-02
5.00000000e-02 7.22943191e-02 2.17315026e-02
1.00000000e-01 2.65034828e-02 2.17315026e-02
1.50000000e-01 3.29018315e-02 2.17315026e-02
2.00000000e-01 5.01911784e-02 2.17315026e-02
2.50000000e-01 4.63942366e-02 2.17315026e-02
3.00000000e-01 -1.53925669e-03 2.17315026e-02
3.50000000e-01 1.09735715e-02 2.17315026e-02
4.00000000e-01 2.88471725e-02 2.17315026e-02
4.50000000e-01 3.60202481e-02 2.17315026e-02
5.00000000e-01 5.12500294e-02 2.17315026e-02
5.50000000e-01 -4.70685825e-02 2.17315026e-02
6.00000000e-01 -3.68670953e-02 2.17315026e-02
6.50000000e-01 -2.88292108e-02 2.17315026e-02
7.00000000e-01 -2.34566345e-03 2.17315026e-02
7.50000000e-01 4.50618703e-02 2.17315026e-02
8.00000000e-01 9.97895138e-02 2.17315026e-02
8.50000000e-01 3.85629277e-02 2.17315026e-02
9.00000000e-01 4.79651889e-02 2.17315026e-02
9.50000000e-01 -1.73999549e-02 2.17315026e-02
1.00000000e+00 -7.47107746e-02 2.17315026e-02
2.00000000e+00 6.17877382e-02 2.17315026e-02
3.00000000e+00 -3.89522396e-02 2.17315026e-02
4.00000000e+00 -1.63808348e-03 2.17315026e-02
5.00000000e+00 3.58408717e-02 2.17315026e-02
6.00000000e+00 -1.90843356e-02 2.17315026e-02
7.00000000e+00 -8.82572925e-03 2.17315026e-02
8.00000000e+00 -3.96727015e-02 2.17315026e-02
9.00000000e+00 3.68776403e-02 2.17315026e-02
1.00000000e+01 -2.54326803e-02 2.17315026e-02
2.00000000e+01 8.14614974e-03 2.17315026e-02
3.00000000e+01 -4.15996985e-03 2.17315026e-02
4.00000000e+01 1.40998256e-02 2.17315026e-02
5.00000000e+01 -2.54065174e-02 2.17315026e-02
6.00000000e+01 -1.51675375e-02 2.17315026e-02
7.00000000e+01 -2.70635712e-02 2.17315026e-02
8.00000000e+01 3.23611740e-02 2.17315026e-02
9.00000000e+01 1.17537630e-03 2.17315026e-02
1.00000000e+02 1.66278708e-02 2.17315026e-02
2.00000000e+02 -1.47812414e-02 2.17315026e-02
3.00000000e+02 3.59461495e-02 2.17315026e-02
4.00000000e+02 -3.25716966e-03 2.17315026e-02
5.00000000e+02 8.23332924e-05 2.17315026e-02
6.00000000e+02 -2.36747342e-02 2.17315026e-02
7.00000000e+02 4.21989139e-03 2.17315026e-02
8.00000000e+02 -1.64638850e-02 2.17315026e-02
9.00000000e+02 3.09994845e-02 2.17315026e-02
1.00000000e+03 -1.11399236e-02 2.17315026e-02
1.10000000e+03 -4.87252438e-02 2.17315026e-02
1.20000000e+03 1.71700103e-02 2.17315026e-02
1.30000000e+03 -7.28033685e-03 2.17315026e-02
1.40000000e+03 2.32289601e-03 2.17315026e-02
